// İ, ı, Ö, ö, Ü, ü, Ç, ç, Ğ, ğ, Ş, ş
// &#304; &#305; &#214; &#246; &#220; &#252; &#199; &#231; &#286; &#287; &#350; &#351;

"Content Management";"İçerik ayarları"

"Profile Education";"Profil ve Eğitim"
"Work Experiences";"İş tecrübeleri"
"Skill Technical";"Teknik bilgiler"

"Here you can edit content pages";"Buradan sistemdeki tüm içerik sayfalarını düzenliyebilirsiniz"
"Content";"İçerik"
"Content was successfully updated";"İçerik başarıyla kaydedildi"

"Profile";"Profil"
"EDUCATION";"EGITIM"
"Work";"Is"
"EXPERIENCE";"TECRÜBE"
"Skill";"Yetenek"
"TECHNICAL";"TEKNIK"
"Portfolio";"Portfolyo"
"OF WORK";"CALISMALAR"
"Contact";"Kontakt"
"ME";"KUR"

"Software Engineer";"Bilgisayar Mühendisi"
"USA";"ABD"
"%s Years";"%s Yasında"

"Please fill out the form";"Lütfen bütün alanları doldurun"
"You need to type a valid email address";"Geçerli bir email adresi girmelisin"
"You need to type a message";"Bir mesaj girmelisin"
"You need to type your name";"İsmini girmelisin"
"Name";"İsim"
"Email";"Email"
"Message";"Mesaj"
"Send Message";"Mesajı Gönder"
"Thank you for your email";"Email'ın için teşekkür ederim"

"Company Name";"Proje ismi"
"Description";"Açıklamalar"
"more";"daha fazla"

"Spring 2006 &ndash; Spring 2011";"Bahar 2006 &ndash; Bahar 2011"
"Bachelors of Science in Computer Science, Minor in Mathematics";"BS (Bachelor of Science) Bilgisayar Mühendisliği, İkincil branş: Matematik" 
"Fall 2003 &ndash; Fall 2005";"Güz 2003 &ndash; Güz 2005"
"Associates of Science in Computer Science, Minor in Mathematics";"AS (Associates of Science) Bilgisayar Bilimleri"
"Fall 2002 &ndash; Fall 2003";"Güz 2002 &ndash; Güz 2003"
"Associates of Science in Engineering Science, Minor in Mathematics";"AS (Associates of Science) Mühendislik Bilimleri"

"Sent from vknyvz.com";"vknyvz.com\'dan gönderildi"

"Resume is not available\n\nNot looking for any new oppurtunities at this time";"Yeni bir iş aramadığımdan şu an için CV\'im aktif değildir"

"Application written by %s";"Bu yazılım %s tarafından yazılmıştır"
"Copyright &copy; %s";"Hakları mahfuzdur &copy %s"
"Download CV";"CV'mi İndir"
"Email Me";"Email Gönder"
